"name","densite","population"
"Ain","5762,4","663202"
"Aisne","7361,7","527468"
"Allier","7340,1","334872"
"Alpes-de-Haute-Provence","6925,2","166077"
"Hautes-Alpes","5548,7","140976"
"Alpes-Maritimes","4298,6","1103941"
"Ardèche","5528,6","331415"
"Ardennes","5229,4","268859"
"Ariège","4889,9","154596"
"Aube","6004,2","311329"
"Aude","6139","376028"
"Aveyron","8735,1","279649"
"Bouches-du-Rhône","5087,5","2056943"
"Calvados","5534,5","700633"
"Cantal","5726","144226"
"Charente","5956","350867"
"Charente-Maritime","6863,8","661404"
"Cher","7235","299573"
"Corrèze","5856,8","239784"
"Corse-du-Sud","4014,2","162942"
"Haute-Corse","4665,6","184655"
"Côte-d'Or","8763,2","535503"
"Côtes-d'Armor","6877,6","605917"
"Creuse","5565,4","115702"
"Dordogne","9060","413730"
"Doubs","5232,6","547096"
"Drôme","6530","519458"
"Eure","6039,9","598934"
"Eure-et-Loir","5880","431277"
"Finistère","6733","921638"
"Gard","5852,8","756543"
"Haute-Garonne","6309,3","1434367"
"Gers","6256,8","192437"
"Gironde","9975,6","1654970"
"Hérault","6101","1201883"
"Ille-et-Vilaine","6774,7","1098325"
"Indre","6790,6","217228"
"Indre-et-Loire","6126,7","612160"
"Isère","7431,5","1284948"
"Jura","4999,2","258555"
"Landes","9242,6","422976"
"Loir-et-Cher","6343,4","328504"
"Loire","4780,6","769029"
"Haute-Loire","4977,1","227284"
"Loire-Atlantique","6874,4","1457806"
"Loiret","6775,2","684561"
"Lot","5216,5","174942"
"Lot-et-Garonne","5360,9","331229"
"Lozère","5166,9","76519"
"Maine-et-Loire","7106,6","824743"
"Manche","5951,5","495508"
"Marne","8169,1","565292"
"Haute-Marne","6210,6","171042"
"Mayenne","5175,2","305933"
"Meurthe-et-Moselle","5245,9","732486"
"Meuse","6211,4","181919"
"Morbihan","6822,6","768687"
"Moselle","6216,3","1049942"
"Nièvre","6816,7","202417"
"Nord","5742,8","2611293"
"Oise","5860,2","828838"
"Orne","6103,4","276973"
"Pas-de-Calais","6671,4","1461441"
"Puy-de-Dôme","7969,7","662285"
"Pyrénées-Atlantiques","7644,8","693027"
"Hautes-Pyrénées","4464","230956"
"Pyrénées-Orientales","4116","487307"
"Bas-Rhin","4755","1152662"
"Haut-Rhin","3525,2","767083"
"Rhône","3249,1","1893692"
"Haute-Saône","5360,1","234296"
"Saône-et-Loire","8574,7","549288"
"Sarthe","6206","566058"
"Savoie","6028,3","442468"
"Haute-Savoie","4387,8","841482"
"Paris","105,4","2133111"
"Seine-Maritime","6277,6","1255918"
"Seine-et-Marne","5915,3","1438100"
"Yvelines","2284,4","1456365"
"Deux-Sèvres","5999,4","374587"
"Somme","6170,1","566252"
"Tarn","5757,9","393572"
"Tarn-et-Garonne","3718,3","263377"
"Var","5972,5","1095337"
"Vaucluse","3567,3","564566"
"Vendée","6719,6","699459"
"Vienne","6990,4","439385"
"Haute-Vienne","5520,1","371691"
"Vosges","5873,8","360673"
"Yonne","7427,4","333385"
"Territoire de Belfort","609,4","139654"
"Essonne","1804,4","1313768"
"Hauts-de-Seine","175,6","1635291"
"Seine-Saint-Denis","236,2","1668670"
"Val-de-Marne","245","1415367"
"Val-d'Oise","1245,9","1256607"
"Guadeloupe","1628,4","384315"
"Martinique","1128","360749"
"Guyane","83533,9","286618"
"La Réunion","2503,7","871157"
"Mayotte","376","256518"
